"","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"Zfp609",9.95013515494075,9.94809083384266,10.1898172373618,10.199542542613,10.3657455748185,10.0419398157456
"Cav2",8.06839626339851,8.26081965394098,8.56361584605729,8.48510552800303,8.92294283411282,8.30501629367039
"Ndufa1",8.84253764284046,8.83735968553039,8.73612216366928,8.78237149056741,8.74456240087675,8.86729344623823
"Fundc1",8.45064698887836,8.34273132431868,8.28517496436404,8.11174499273841,8.27534848703646,8.30506093212192
"Ndp",-0.361642717144826,-0.274699774589175,-0.347822317373346,-0.361619450467141,-0.327314079765393,-0.314815693609922
"Usp9x",10.9431456138809,11.0054560081681,11.3167066652881,10.9771677826635,11.3309494285985,10.8116527513675
"Tspan7",4.91888218843142,4.87639827839333,5.18898387521797,5.43296542302107,5.45520723975347,5.15274268958168
"Dynlt3",9.16422834789033,9.06348090879454,9.19893667299002,9.25370586026754,9.40305665424916,9.24329921261077
"Ftsj1",8.52268128443499,8.40740248844249,8.38882765795353,8.36748286351939,8.13166251763424,8.32578691906203
"Otud5",11.0359934543039,11.0102447480818,11.0336656527874,11.0119711613542,11.1168441043124,11.0538610812388
"Ppp1r3f",-0.626123651505312,-0.596066859565243,-0.618829689671023,-0.595194953980348,-0.591799815241065,-0.585762950474961
"Chrdl1",6.04555240005673,5.55685508580329,5.04179686708665,5.62981239461787,4.99791296823801,6.0732695572713
"Col4a5",9.41639425734219,9.49737991481517,9.85841141187263,10.2188991686444,11.1880355120424,10.3019430145495
"Col4a6",1.78200962110263,1.95284673129814,1.98628590438964,1.90292116053632,1.94595155196142,1.80557862805962
"Fgd1",9.40183144181592,9.3861581129658,9.3801761718162,9.26179719642395,9.35249686942392,9.32096563849859
"Gemin8",9.0922430324193,9.1057119116949,8.96339817928616,8.96525762539103,8.85163376764167,9.04402498928729
"Mospd2",8.34084859425982,8.30097999993529,8.25260642357409,8.14200648451097,8.54047060620663,8.40954641888227
"Piga",6.25283959091723,6.216313782686,6.2784676411113,5.99749948220193,6.19080739803824,6.05026248581041
"Pir",8.61906102930745,8.43667514721191,8.72262997393882,8.61350298570875,9.1595023450857,8.69174077971809
