"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C"
"Tmem19",8.03567235753357,8.12583338187369,8.19119645171178,8.00319557836091,8.02030473733507,7.90130657583984
"Lgr5",7.45274486557907,7.78178080604354,7.80951342717892,6.66890036632997,6.58487368825442,6.43463643592459
"Cnot2",10.5310107346135,10.4568199229565,10.3954024464593,10.4320877780761,10.4374346920862,10.5332741174068
"Cct2",12.3534134067699,12.0576124000347,12.0939327253796,12.127055598783,12.1312161554923,12.2407160551604
"Yeats4",8.49204589698502,8.36236525985457,8.32885205269552,8.2307630447321,8.2849822812849,8.35622618873278
"Cpsf6",11.1152751466732,10.998595964091,10.9516271793365,11.0066172166642,10.9460670740131,11.0816505213843
"Llph",8.75784966627437,8.43274356149423,8.89041939241861,8.36455622799583,8.54897154491583,8.16164110792152
"Tbc1d30",2.55897948281042,2.68698143420813,2.64412919558241,2.71120777321612,2.63732008035039,2.65311518971012
"Gns",11.4840886803636,12.1233915772792,11.876946464914,11.6812596969105,11.7740882120597,11.6544676183925
"Tbk1",8.8789888887273,8.6037081884734,8.69568394672483,8.60633955468685,8.53728055093683,8.61747464468736
"Atp23",7.05143634366198,7.21686540593514,7.1801991134731,7.24043593812704,7.18638845313191,7.16736395695494
"Lrig3",10.3983611539014,9.91899033718333,10.1506024431301,10.3907458122533,10.3332866394618,10.3700895282699
"Rxylt1",9.1212572955927,9.12517041976479,9.1848575070375,9.07785656966621,9.14140998992615,9.04798963043742
"Dctn2",11.8394320259523,11.8273659919782,11.8043070759283,11.807965437506,11.8465775241358,11.8563634138578
"Mars",11.4520896597477,11.4084305997033,11.3471768971922,11.4598637518246,11.4571855464431,11.5416078816671
"Shmt2",12.436613582272,11.9291637236561,11.9207227070213,11.9169683491807,11.954402173495,12.1978512072806
"Lrp1",12.4532720794309,13.3894788722292,12.7906051362722,12.9033431631118,12.9624827786241,13.0636833104259
"Ebag9",9.15592603321405,9.17617184804836,9.05287815666704,9.09198782586303,9.09787701466066,9.20810320422602
"Eif3el1",11.6960332971144,11.87429397539,11.6618065093345,11.6191258580331,11.6375838057991,11.7517119588338
"Trps1",10.0284331202818,10.2575485533302,9.95091924597725,10.1691848500287,10.0698623194226,10.3115951755543
"Eif3h",11.9446621143438,12.1215003391103,11.9383463314339,11.9699257054687,11.9793871655809,12.069391330818
"Utp23",6.99477994027206,6.51949093963409,6.63458213884242,6.67538620749862,6.75112433584041,6.83580857278017
"Med30",7.95003774620396,7.77109622829445,7.71726047444175,7.7820334893692,7.71265660439585,7.89065155968998
"Ext1",10.9735893562416,11.1863622751896,11.1815985091919,11.0026119892845,11.0373329333833,10.9183497678576
"Gsdmc",-0.986131520678166,-0.986095578591312,-1.01133348292352,-0.95504454948629,-0.986112007413786,-0.945358345161261
"Fam49b",10.0382252265149,9.7471076229061,9.81593628495719,9.89344723222318,9.82718982362183,9.93704866767582
"Ndrg1",10.6299632095059,10.5457210009449,10.3317018534394,10.1583570135365,10.1640143401845,10.4173259286465
"Colec10",1.20172321045083,1.31086086206326,1.30390639278812,1.25887787301287,1.25773417191448,1.2106916659326
"Dscc1",8.3128002800822,7.28601935654877,7.64354648498843,7.57611096212432,7.54906142959557,7.718449529187
"Mrpl13",9.33189599423156,9.10521516950979,9.18562513130454,9.1072857372663,9.13626980669847,9.15470822254852
"Sntb1",9.67536670462572,9.26296958670043,9.66268715837038,9.89675730170783,9.82031600333173,9.66501763981248
"Tbc1d31",8.75402415275801,8.37644672704234,8.36960248807427,8.28656892920723,8.27741934560806,8.47762708923356
"Ndufb9",10.2726468272001,9.98362923755733,9.93752671179882,9.96864733638252,9.94945635447261,10.1496631660074
"Nsmce2",8.95852470932437,8.7289899518153,8.70620572375825,8.63105028799719,8.64471819466233,8.77543584814134
"RGD1564515",0.365505095574895,0.336561514715935,0.346125475931612,0.394893425299808,0.421442854718695,0.413075969223054
"Atp6v1c1",9.95647432411283,9.92662280433944,10.0123730954257,10.091540680552,10.0372684391523,9.99358002865258
"Rrm2b",5.40892220873092,5.39710183077516,5.54730101702781,5.43376464027942,5.258011621583,5.20159913365644
"Ankrd46",9.79184621517478,10.0308777416091,9.94103129565355,10.1417039626824,10.227200421679,10.1547828749191
"Matn2",6.82721434887307,6.90471518014084,6.55111927205017,6.84455081233172,6.87567074883692,7.17495627304111
"Them6",4.1326864344518,4.07481420883941,4.31665812373825,4.09820294147439,4.05014548032046,3.86126640880479
"Slurp1",-0.358882948161294,-0.358337285682796,-0.351547211656043,-0.358182075944662,-0.330469575297007,-0.351388730886836
"Lynx1",-0.191811676714496,-0.191755018430659,-0.178259166763461,-0.191738898077761,-0.191780917464161,-0.205284088580077
"Top1mt",8.02197288301581,7.69286615080109,7.91097682931474,8.00065481379279,7.93429327606928,7.91391673252474
"Rhpn1",6.16008768500751,6.48595005994154,6.46636476540724,6.41809508329065,6.45910354162672,6.29525341952596
"Zc3h3",9.24337379883166,9.2086230204238,9.30176781462963,9.23343195605847,9.21015982755753,9.14602648680611
"Eef1d",11.9875118148576,11.4372883011757,11.5285430382817,11.4933138505725,11.5258613940509,11.6934446420466
"Tigd5",6.85539723065952,6.75583619775184,6.89128767393196,6.68955614648801,6.8356492872589,6.67693175714718
"Pycr3",9.56028639421229,9.18995500277975,9.26558642431236,9.29449100982127,9.28151619753198,9.39753787786028
"Tsta3",9.11714271788681,9.32000688940042,9.20008610812658,9.19598549999523,9.16369918194215,9.19833103648574
"Exosc4",7.97286600185498,7.85335725435474,7.93654927503424,7.89540840457795,7.9762951325741,7.91241412164665
"Gpaa1",10.7444998868303,10.4125879926494,10.4761737980324,10.312399155903,10.3386868050733,10.4279131221955
"Cyc1",11.164042654779,10.6185685143989,10.781234011821,10.7134833228321,10.745079644528,10.839353056448
"Bop1",10.3655735435893,9.98726105680643,10.1379376132682,10.1234167190474,10.2190799310217,10.2097280119642
"Slc39a4",0.440857921490556,0.441442656319403,0.439624444768607,0.441608974194229,0.441175402717844,0.442918032592409
"Vps28",9.83006033107021,9.77325432395911,9.83131184846814,9.74134574868686,9.76307297189439,9.72255483933714
"Kifc2",5.11829633604598,6.15149804941329,5.9699467080423,5.81917924432342,5.76652430449775,5.45780225909793
"Recql4",9.07070777817229,8.10898187991596,8.44888642138557,8.12079631169625,8.13030368362714,8.26650840532025
"Apol11a",1.30657907640266,1.5651377591738,1.37147071065656,1.30812993618876,1.30723486739249,1.3720701089223
"Ift27",8.71832780291651,8.59164518199913,8.65885192723798,8.40709433731321,8.51906300840846,8.45921323808068
"Gga1",10.6318700906339,10.5223468472611,10.6798146891641,10.5586747672366,10.5905464296999,10.4719043782516
"Sh3bp1",9.7862432496177,9.7758289924569,10.0198704735784,9.80702482074924,9.8177760195654,9.57356606761625
"Eif3l",11.441216385102,11.3111359205394,11.2946091224363,11.2086120036951,11.2688742249373,11.3203101447006
"Fam227a",3.02327947631896,3.33101973204902,3.35779188833598,3.29202721909496,3.34779368937123,3.1392681700811
"Tomm22",10.3592089792058,10.1306363314303,10.1721451226242,10.1018323688079,10.1580235452679,10.2027054897317
"Gtpbp1",10.0738839058801,9.95559809886378,10.0134579566567,9.87588865110279,9.90325021532006,9.8908524789267
"Dnal4",9.32704465624155,9.49675812842758,9.45962102481429,9.33948243206371,9.37193896473649,9.30799106592037
"Rpl3",14.0706971693429,14.1305426303024,13.9365033315807,13.9619538653834,13.9914477369674,14.1408173694173
"Slc25a17",9.60387742902036,9.74211363614698,9.73168668847189,9.71959644886961,9.73525107847482,9.66873260778399
"Rbx1",10.2651634494874,9.95126048377024,10.0814403199895,10.0338437833567,10.1186055921722,10.1029963344037
"Polr3h",9.29069048818929,8.89972512958486,8.94368476275752,8.8911623348646,8.91801895051506,9.05611368881939
"Pmm1",10.2387749545755,10.3840694458386,10.3813266582918,10.440349716659,10.5711973731058,10.4358690867976
"RGD1306782",-0.235650439061434,-0.292667657725498,-0.271863687128511,-0.262974372751554,-0.292692028015585,-0.270128561648524
"Nhp2l1",10.72238867503,10.4455422936215,10.5521922969549,10.4630330719776,10.5414921770512,10.5340358118852
"Srebf2",11.440896323091,11.2428176242337,11.4026272109909,11.6476642991311,11.6277558913899,11.5769398579319
"Ttll12",10.7328153139521,10.3995858944776,10.5760919037714,10.5777122899269,10.592562830143,10.5752462604784
"Samm50",10.4429670373812,10.0136983536891,10.0721143599745,10.0170887776393,10.0938469776484,10.2116862132044
