gene_id,gene_symbol,WKY_Joint_5d_A,WKY_Joint_5d_B,WKY_Joint_5d_C,WKY_Joint_3m_A,WKY_Joint_3m_B,WKY_Joint_3m_C,SHR_Joint_5d_A,SHR_Joint_5d_B,SHR_Joint_5d_C,SHR_Joint_3m_A,SHR_Joint_3m_B,SHR_Joint_3m_C
246215,Tpcn1,2267,2008,2304,2526,2310,3051,1890,1743,2174,2462,2367,3375
246216,Prpf19,4430,2938,2783,2471,2811,2247,3316,3509,3233,2481,2415,2289
246217,Ngef,86,16,107,57,46,18,13,14,236,16,5,49
246232,Uxs1,2762,2199,1477,3140,3002,1795,3187,3292,1536,2970,2833,1787
246233,Macrod1,80,225,109,219,150,99,137,152,77,132,79,125
246235,Slc36a2,0,1,2,0,0,0,0,0,0,0,0,0
246237,Plekha5,339,457,263,868,504,397,335,300,226,558,366,375
246239,Slc15a3,39,12,12,5,7,3,3,0,4,3,1,42
246240,Ripk3,882,333,388,571,681,361,345,355,328,981,625,279
246244,Tax1bp1,3646,3678,1869,4551,4223,3203,3246,3148,1748,3833,3725,2892
246245,Fmo2,47,107,8,2,5,1,7,6,0,19,3,2
246246,Pnpla7,77,335,187,592.86,442.39,329,188,182.76,104,331.86,247,350
246247,Fmo4,120,280,70,130,108,85,89,135,12,119,110,52
246248,Fmo5,6,2,3,34,23,9,3,4,0,20,6,8
246249,Arhgap4,31,17,50,19,29,37,13,20,55,16,32,36
246253,Adipoq,0,0,1,1,0,0,0,0,0,0,1,0
246254,Gpsm1,822,909,899,390,483,644,779,842,879,576,488,789
246255,Ppp2r2d,737,415,560,430,518,470,437,447,572,482,422,477
