"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"Nek8",6.27311541420979,6.86526184573045,6.76917395520725,6.99775868276237,6.83250457403347,6.79604176174237,6.68237739650335,6.70378995594289,6.60725849199588,6.7722047763779,6.87557930053047,6.82882176409985
"Txndc17",9.83535164712655,9.47839023630876,9.41262269813788,9.38709406101232,9.35851071976373,9.46231644385498,9.41736633767031,9.40224016928484,9.49192686151373,9.40646975933803,9.40428179253817,9.47798635801478
"Med31",6.93532139936191,6.98456262693427,6.7901025117935,7.12895174645313,7.02084124871733,7.0020685284962,6.87698419978882,6.91930699231282,6.90862150381688,6.96112783444876,6.72267335581882,7.07409215781135
"Zzef1",9.24532678063327,9.53344121926922,9.34720000163158,9.22517025265724,9.14687420405577,9.46862388253154,9.5332599852499,9.44754568348512,9.38954843233465,9.36916731096631,9.65183428083442,9.37093754207786
"Emc6",9.36185297531376,8.79670465178435,9.11557005324999,8.97030082917179,9.2418070475403,8.97608824506381,8.9452509927599,9.07773834645004,9.17940161186727,9.04675241746664,9.07260874807827,8.98544809410146
"Ctns",7.95605716595902,8.2592438620659,8.08960825081075,8.25752941853891,8.10734351667479,8.11698720459633,8.18369587532046,8.19517091626579,8.22287952948547,8.29105116502122,8.29943927744522,8.34529061375312
"Shpk",5.68484169971334,5.73864123056456,5.4729819132079,5.83275324979088,5.88555307772725,5.65349027021161,5.61352477961969,5.64325096818883,5.7779431010745,5.84629723490869,5.89077188042974,6.16340177597748
"Mnt",9.84828302635518,10.2527617659364,10.160968208357,10.5086281159048,10.3083617016731,10.1355511783257,10.0208541701646,9.99833945048862,10.0592942176318,10.0295910715061,9.94864182359184,10.1019169584959
"Smg6",9.33070557105079,9.32884631009854,9.26497492842634,9.51876831931714,9.21786172178744,9.32821679020243,9.20037617735417,9.13659301817035,9.28816267173838,9.28142797593063,9.23262007560707,9.24224519429091
"Dph1",9.38522780488397,9.03750266965879,9.21816226794215,8.93962454341492,8.89442495537909,8.77409715317937,9.0865057151139,9.2062987250503,9.28391694958054,9.03558194778255,9.07459271839608,9.05370316913777
"Rpa1",11.0708569326259,10.2170207754543,10.7158253152755,10.294328255433,10.6150729574577,10.4629790322901,10.2909975532471,10.3297735945074,10.4733678095467,10.5393286635631,10.2991877933906,10.1761111057272
"Smyd4",6.71113796842835,6.40185776197634,6.82024161178887,6.54630957949777,6.48905758958661,6.59268848202411,6.33711580892489,6.51318024515025,6.37592151691158,6.63794368910752,6.4623226062961,6.26061101375935
