"","WKY_Joint_5d_A","WKY_Joint_5d_B","WKY_Joint_5d_C","WKY_Joint_3m_A","WKY_Joint_3m_B","WKY_Joint_3m_C"
"Dusp10",7.66636202150158,7.22397496506222,7.16969696519039,7.34692003575481,7.21755179544304,7.55770744369044
"Smc1a",10.7433503933171,10.4567041099099,10.5894583692612,10.4753299690708,10.6623976208219,10.5794326772987
"Slc29a1",10.6107577956191,10.9003658532352,11.2467635170384,12.3511025675571,11.7142179550761,11.5414585687054
"Cyb5a",9.33031576376962,9.260194055315,9.36670520765367,9.51992557279113,9.25598293941821,9.31650395799331
"Rad50",9.01477622483587,9.2409707238169,9.11274919654906,9.10241393207545,9.23801624721119,9.18533936742066
"Pdcl",9.00800872834062,9.03989051748503,8.95842050914264,9.20602213701952,9.14009456852391,9.23858746654191
"Dusp12",6.9065478469817,6.81110311241546,6.66228565620898,6.67938750295332,6.69156008820155,6.88201361906703
"Khdrbs3",6.88040382516208,6.49591150341687,6.65576755747493,6.63034682859691,6.98175466667279,6.8384408544494
"Qtrt1",7.56185118141597,7.39590402389598,7.41427587005898,7.23564853755011,7.19370631681789,7.279279159781
"Enpep",10.3966844646885,11.7688901150402,10.884074593968,12.019450783793,11.6472335104433,12.0320548430145
"Slc33a1",9.52928190896508,9.68167616737961,9.63337882071908,9.79991887195731,9.63763358334981,9.69087644510682
"Pag1",3.32675052562036,3.19877075568217,3.12238251284726,2.94388899886797,2.83527366524024,3.02995945985812
"Gpr85",4.05971463587583,4.43540776439162,4.13292723016688,3.88923427246688,3.80753447280762,3.9630183426041
"Gpr173",2.6235227550868,3.09105238123009,2.66077272777529,2.62833789744139,2.83235186496532,2.92685972158651
"Btc",2.00149893459642,2.51021676375475,2.1499092943942,2.11782576668088,2.04100201903347,2.18536244763856
