"","SHR_Joint_5d_A","SHR_Joint_5d_B","SHR_Joint_5d_C","SHR_Joint_3m_A","SHR_Joint_3m_B","SHR_Joint_3m_C"
"Rpl15",13.6705582598518,13.766625458974,13.7149348627436,13.4721878111256,13.5941245226192,13.5368131635418
"Coro6",5.62884285878415,5.74594714375224,5.95680888251961,5.95899563918049,5.65413248695331,5.53715018181548
"Il11ra1",10.1799839774498,10.2240669165089,9.83640099344925,10.1503102484917,9.99004131036658,10.4358002329592
"Gng8",7.0439750310264,6.98056093799821,7.00315388443943,7.85122938272567,7.26943159841181,7.56944459064161
"Nifk",9.27360242907475,9.28562381469047,9.47335497553759,9.09373237902532,9.27945083759829,8.99284975465682
"Lmbrd1",8.66014954605537,8.61621529618095,8.46664139084138,8.82375389347331,8.8159251155304,8.99138053477864
"Calcoco1",10.6719652459953,10.6066483607727,10.2033017511917,10.6127286576987,10.3901987610969,10.9374687615901
"Cdkn1c",6.3339528080951,6.33989233341744,6.0599985657189,5.1533799847341,4.80044301227621,5.25383550354253
"Scd",11.4432507322458,11.3686946263238,11.000004063046,10.3227714930847,10.8302554560877,10.982482090825
"Prlhr",0,0,0,0,0,0
"Fas",9.66583501917427,9.62773988960259,9.19345738614395,9.43561559199754,9.72539219998832,10.0338339642374
"Plpp2",8.092582901508,8.09372772261432,8.28028674158238,8.41580343159453,8.1828061357153,8.1121733541337
"Ptpn4",7.65561794619048,7.47081857886658,7.70665358130551,7.57876653729324,7.78542043271123,7.53865816622525
"Mcfd2",10.3878256405389,10.3955363810627,10.433064663637,10.61858993504,10.4876948012816,10.5117587153246
"Tubb3",7.55117558262973,7.5775461402433,7.00943697070446,8.14763114398423,7.92459549557363,8.59103721051098
"Plbd2",12.0059835615984,12.0492854242491,11.9647486288473,12.2166448477111,12.1927378461988,12.2675772110313
"Man2c1",9.31708298614241,9.3801621004293,9.33756513105258,9.37569762659792,9.4759164980199,9.43686447454218
"Bmf",7.48460384298536,7.45231383121614,7.43189256198574,6.75280064796844,6.69833272525792,6.76213296172819
"Nradd",9.19772462663625,9.19796802685018,8.83575128709152,9.10650032359394,9.01676522577504,9.42372781433619
"Il3ra",7.39481758717086,7.38658519739594,7.15628792196219,7.31970019759531,7.25536530529979,7.52194622176876
"Hspbp1",9.5978162751377,9.62555230424278,9.68556034255323,9.69109627269789,9.58659498483052,9.56496957590121
"Akap9",9.09327583846634,8.89317856218318,9.15620524910332,8.8689969563153,9.19093673781428,8.86698879828623
"Wdr44",7.88695423954384,7.82262034003158,7.96610230897972,7.82367052171551,8.138486433005,7.86976345816825
"Kcnc2",3.14052830061232,3.11361008749972,3.27217311839659,2.84895443466433,2.95393351709068,2.75634005153694
"Nexn",10.0999798979452,9.98099195769189,9.90735517441065,9.57620391097923,9.98780473684587,9.91513507732043
"Fgd4",4.33003872982578,4.30537939575754,4.30428497754846,4.38835423618305,4.40976539597076,4.41248390132011
"Dus1l",8.14507137906086,8.22532736999189,8.18244755812291,8.15987894639746,8.19599038836805,8.18068648378622
"Slc7a6os",8.42886997250901,8.29568815204819,8.40427106970962,8.29876279369012,8.34463187889801,8.27970532886305
"Ifi47",5.10016719007632,5.09059651006414,5.01885193963049,4.8382572963887,4.9506514032755,4.97098426027183
"Kif27",5.43617810876198,5.50677771344073,5.76224054560775,5.41592854959615,5.44908513549692,5.14174420804015
"Hsd3b7",8.57752630411051,8.63238287635447,8.19555543563365,9.0968144926679,8.67478101342712,9.29519690764636
"Sipa1l1",10.0648803661227,10.1017912527282,10.324794213431,9.81738481282264,10.0304570389608,9.68246252188619
"Tpcn1",11.0927866843387,11.0124862334933,11.0402805096015,11.3285480195992,11.3914824165201,11.3723711673742
"Prpf19",11.5661309050947,11.6022463680955,11.6544463206043,11.3158861324332,11.3875776533827,11.2814742088987
"Ngef",5.27079950469631,5.2914035651555,5.93084941277003,5.35462620022537,5.04758412431866,4.55135728442789
"Uxs1",11.2191245328583,11.2335579221398,11.1749460423522,11.1614868906693,11.2183700706263,11.2413236657947
"Macrod1",6.8736069905726,6.9395537804801,6.66362701612284,6.85142331943795,6.56889270009627,6.95311137917062
"Slc36a2",0,0,0,0,0,0
"Plekha5",8.28642409784903,8.18343739144953,8.23792122961557,8.73148009376109,8.45828619875972,8.59189266129412
"Slc15a3",2.82028951081944,2.70699853191001,2.3647575975713,2.82118542907812,2.75464976834221,3.18680402250358
"Ripk3",8.3308053019711,8.34033745359495,8.81189111979131,9.25888375478467,8.94119413738363,8.62371920407586
"Tax1bp1",11.4141337494187,11.371775543359,11.3150653369982,11.5718872868022,11.6466968172666,11.687181361425
"Fmo2",2.36935775831368,2.34096991024791,2.37118885307193,2.63257907221951,2.27255339265368,2.43654121364546
"Pnpla7",7.57832481077543,7.54086400903114,7.31577693550639,8.04518610051547,7.89000632047022,8.21141368488975
"Fmo4",5.91319571053003,6.2063101213091,5.79938889428619,6.12846745770734,6.151026509447,6.40011100521055
"Fmo5",2.47276575485832,2.49921356063468,2.48306092632266,2.86299820243286,2.57447384610923,2.72166475569488
"Arhgap4",4.68901865219562,4.82352750036029,4.98167032699275,4.75466575385853,5.08640251168472,4.69513688205683
"Adipoq",-1.97333668440903,-1.9734344760679,-1.97003718941681,-1.97329336414833,-1.96093642705733,-1.97046328642448
"Gpsm1",9.64132989346116,9.69496160204542,9.59886644522264,9.39027730476664,9.34398893376826,9.4364124217981
"Ppp2r2d",8.86813354604438,8.87305735296464,9.02014446033227,8.95667414057313,8.93690967173515,8.79724289532638
"Slc45a1",5.22091682769309,5.31496097211429,5.70514888589411,5.04481669793493,4.85223310585174,4.51131491590292
"Sema3d",10.4580675271056,10.2945752752068,10.0171813995748,8.37066549198304,9.74676301911553,9.4178542571307
"Zfp382",7.15881862528843,7.00079651805827,7.14916350784615,7.06089538698726,7.34139063955002,7.13178707709584
"Aspg",5.22628552216621,5.02633892579565,5.04009711808858,5.35000054130899,4.70956924402271,5.1159999985582
"Oas1b",3.63399364234495,3.35740025037671,3.4800146327364,3.6721199811049,3.4348454764022,3.56916504237798
"Cant1",10.2622335579788,10.3880927029191,10.0617851301778,10.3990002643247,10.3742555931772,10.6500059290221
"Trib3",9.61887790990621,9.74087390899707,10.2601758560935,10.1994902051431,10.5307538094298,9.78482206064462
"Faim2",2.89683331477411,2.8962617459867,3.26588702071225,3.10510009207921,2.94292647832928,2.65467379487241
"Zfp180",9.56151833525734,9.57530910436986,9.77063626450139,9.53990081645927,9.54492821689023,9.34019197198696
"Slc15a4",8.15191938628606,8.20698280316214,8.22970551250855,8.34553580202846,8.31860141521372,8.28181419083664
"Asmt",0.852368283864908,0.878314820791556,0.902119767783552,0.824420009359982,0.859111721033614,0.804987649741479
"Zfp91",10.9690489938526,10.913349402617,11.0915197449049,10.8456236832312,11.1293890213096,10.8371858056003
"Atrx",9.80846724970523,9.57948218650008,9.71685301952376,9.35554879273809,9.55433451070536,9.43206335030062
"Optn",10.584506388107,10.5145013786019,10.0530097148254,10.5696234414987,10.5623403374861,11.0624760580215
"Cep104",9.53816603937804,9.48209751963843,9.48164087802306,9.54039236633241,9.68934844285668,9.64336130607973
"Lrrc15",3.03491776567501,3.08292155280065,3.11517357789671,3.20311466093954,2.96139470574462,3.0260007646832
"Myocd",9.22743142797509,9.04601082260867,8.64315909851737,9.15913462429536,10.0050577499442,10.0756582138943
"Retsat",10.0232716330362,10.0341508953763,9.80410314488572,10.1755487588677,10.0089825403828,10.3168737689458
"Gtf3a",8.87606198590702,8.92445315047557,9.02392974357662,9.07544776219606,9.02225396633856,8.92517868888198
"Ascl3",0.878767088380042,0.850064341181799,0.823677288824885,0.850814379615506,0.885514150549804,0.90890269103869
"Pcyox1",10.8976430715819,10.9058127366947,10.6530063378568,10.7563602343802,10.8585274832947,11.0561654251189
"Serbp1",12.4156690381293,12.4027629437347,12.5598110191162,12.4260812699361,12.3132751854074,12.2190831994876
"Cep350",7.93242807115698,7.64721056045482,7.91327359180052,7.56565478420479,7.82951429115682,7.57413026168619
"Rmt1",0.887163024830327,0.832746977867344,0.882263307652733,0.805735089864169,0.809310310565644,0.78521439391101
"Asrgl1",7.1118409105699,7.1595984452974,6.99162991883129,7.10689333561275,7.17272873015544,7.28390079198646
"Arfgap1",11.3644827749053,11.391765877011,11.4528990928309,11.340969506673,11.4569103756419,11.3241651742847
"Pdp2",7.35677986058126,7.32427929392625,7.25534283835706,6.86000866100019,7.16975229310286,7.10006721594822
"Tor1aip1",10.4476736864038,10.3973193771528,10.2554574083511,10.3981364713207,10.3924295886374,10.5623221534063
"Aard",7.1048706032831,7.22154790696137,6.67557457496534,5.8435595575261,5.99379601932627,6.40631246858308
"Rab31",12.5236139425051,12.5252788877976,12.1345012675936,12.657524849417,12.4325229454411,12.9349690449868
"Kcnh8",0,0,0,0,0,0
"Zdhhc2",7.02509274359933,7.00055710158668,7.45779343642563,8.00386529589254,7.32899728632975,7.22146277727852
"Prim1",8.74489563883798,8.66539832117123,9.13242686068668,8.75300268548156,8.64585303509282,8.27214797960512
"Nrp1",11.2894261698793,11.2144447703747,11.411502009514,10.5106439044321,11.0753613786641,10.6334361021611
"Uhmk1",9.35910460205114,9.16451206728303,9.25504014384847,9.25804991044741,9.39457705613942,9.33308167411204
"Pcsk1n",6.96275877698809,7.35054684614069,6.41869021117775,7.41496489784913,6.82609516942439,7.85849263402341
"Tp63",5.33475319163479,5.26074746447406,4.81374163985487,4.02717244893201,3.95961428479104,4.47740205506107
"Bcas1",-0.945464691531817,-0.945493272638425,-0.928199110842296,-0.945451909393497,-0.944866450418903,-0.962439051149026
"Tradd",8.19339701658345,8.23221699792703,8.04096205672305,8.35909614477666,8.33169284572269,8.51723944578186
